UF;ENTE;NR CRP;DATA DE EMISSÃO;DATA DE VALIDADE;CRP JUDICIAL;TIPO DE REGIME;SITUAÇÃO DO CRP
AC;Acrelândia;980643-185126;17/04/2020;14/10/2020;NÃO;RGPS;VÁLIDO
AC;Assis Brasil;980157-186981;24/06/2020;21/12/2020;NÃO;RGPS;VÁLIDO
AC;Brasiléia;980105-185377;28/04/2020;25/10/2020;NÃO;RGPS;VÁLIDO
AC;Bujari;980645-188197;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
AC;Capixaba;980647-188445;19/08/2020;15/02/2021;NÃO;RGPS;VÁLIDO
AC;Cruzeiro do Sul;980107-187340;07/07/2020;03/01/2021;NÃO;RGPS;VÁLIDO
AC;Epitaciolândia;980651-188251;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
AC;Feijó;980113-188437;19/08/2020;15/02/2021;NÃO;RGPS;VÁLIDO
AC;Governo do Estado do Acre;931001-185475;30/04/2020;27/10/2020;SIM;RPPS;VÁLIDO
AC;Jordão;980653-188273;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
AC;Mâncio Lima;980109-188691;30/08/2020;26/02/2021;NÃO;RGPS;VÁLIDO
AC;Manoel Urbano;980155-186461;02/06/2020;29/11/2020;NÃO;RGPS;VÁLIDO
AC;Marechal Thaumaturgo;980655-187170;03/07/2020;30/12/2020;NÃO;RGPS;VÁLIDO
AC;Plácido de Castro;980151-185818;17/05/2020;13/11/2020;NÃO;RGPS;VÁLIDO
AC;Porto Acre;980649-188196;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
AC;Porto Walter;980657-188185;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
AC;Rio Branco;980139-185330;23/04/2020;20/10/2020;NÃO;RPPS;VÁLIDO
AC;Rodrigues Alves;980659-185628;06/05/2020;02/11/2020;NÃO;RGPS;VÁLIDO
